ticker,symbolFA,nameFA,industryIndex,market
IRO3MOIZ0001,ومعلم,بیمه معلم,IREXINSURANCEDIVERSIFIED,23
IRO3DKHZ0001,زدشت,کشت و صنعت دشت خرم دره,IREXFARMPRODUCTS,23
IRO3Z0560001,زرند,فولاد زرند,IREXSTEELIRON,25
IRO3Z0570001,سیرجان,فولاد سیرجان,IREXSTEELIRON,25
IRO3Z0580001,پتروشیمی کوروش,توسعه صنایع پتروشیمی کوروش,IREXCHEMICALSDIVERSIFIED,25
IRO3GZIZ0001,کگهر,سنگ آهن گهرزمین,IREXMETALLICORES,23
IRO3MACZ0001,زماهان,مجتمع تولید گوشت مرغ ماهان,IREXFARMPRODUCTS,23
IRO3Z0590001,زیسکو,فولاد زرند ایرانیان,IREXSTEELIRON,25
IRO3Z0600001,سیسکو,فولاد سیرجان ایرانیان,IREXSTEELIRON,25
IRO3FAAZ0001,زفکا,کشت و دامداری فکا,IREXFARMPRODUCTS,23
IRO3SAAZ0001,زشریف,کشت وصنعت شریف آباد,IREXFARMPRODUCTS,23
IRO3IGCZ0001,دکپسول,تولید ژلاتین کپسول ایران,IREXPHARMACEUTICALS,23
IRO3Z0610001,بهسازان صنایع,بهسازان صنایع خاورمیانه,IREXENGINEERING,25
IRO3Z0620001,باران,بیمه زندگی باران50%تادیه,IREXINSURANCEDIVERSIFIED,25
IRO3RAPZ0001,درهآور,دارویی ره آورد تامین,IREXPHARMACEUTICALS,23
IRO3GEMZ0001,رنیک,جنرال مکانیک,IREXENGINEERING,23
IRO3JPPZ0001,بجهرم,توسعه مولد نیروگاهی جهرم,IREXELECTRICUTILITIES,23
IRO3Z0630001,ریل پرداز,ریل پرداز نوآفرین,IREXRAILROADS,25
IRO3VITZ0001,غویتا,ویتانا,IREXCONFECTIONERS,23
IRO3Z0640001,نیرو ترانسفو,کارخانجات تولیدی نیرو ترانسفو,IREXELECTRICALMACHINERY,25
IRO3HEDZ0001,هجرت,پخش هجرت,IREXPHARMACEUTICALS,23
IRO3DPDZ0001,دتوزیع,توزیع دارو پخش,IREXPHARMACEUTICALS,23
IRO3FRBZ0001,فرابورس,فرابورس ایران,IREXEXCHANGESEXCHANGERELATED,21
IRO3SDFZ0001,شصدف,صنعتی دوده فام,IREXCHEMICALSDIVERSIFIED,23
IRO3ANIZ0001,وآوا,سرمایه گذاری آوا نوین,IREXINVESTMENTS,23
IRO3IZSZ0001,فروی,ذوب روی اصفهان,IREXMETALSEXIRON,23
IRO3MEAZ0001,ومهان,گروه توسعه مالی مهر آیندگان,IREXINVESTMENTS,23
IRO3CDSZ0001,سپرده,سپرده گذاری مرکزی و تسویه وجوه,null,23
IRO3Z0650001,تماوند,تامین سرمایه دماوند,null,25
IRO3YZTZ0001,پیزد,مجتمع صنایع لاستیک یزد,null,23
IRO3CHPZ0001,کلر,کلر پارس,IREXCHEMICALSDIVERSIFIED,23
IRO3SACZ0001,ساوه,سیمان ساوه,IREXCEMENT,23
IRO3PEGZ0001,غگیلا,شیرپاستوریزه پگاه گیلان,null,23
IRO3TPEZ0001,شگویا,پتروشیمی تندگویان,IREXCHEMICALSDIVERSIFIED,23
IRO3RYHZ0001,رافزا,رایان هم افزا,null,23
IRO3APOZ0001,آریا,پلیمر آریا ساسول,null,23
IRO3STIZ0001,صبا,سرمایه گذاری صبا تامین,IREXINVESTMENTS,21
IRO7SHLP0001,شلرد,کود شیمیایی اوره لردگان,IREXAGRICULTURALCHEMICALS,37
IRO7ABGP0001,کابگن,تولیدی و صنعتی آبگینه‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7AFRP0001,وآفر,سرمایه گذاری ارزش آفرینان,IREXINVESTMENTS,37
IRO7ALTP0001,فالوم,آلومتک‌,IREXMETALSEXIRON,37
IRO7ARAP0001,حاریا,کشتیرانی آریا,IREXSHIPPINGPORTS,37
IRO7ARMP0001,آرمان,بیمه آرمان,IREXINSURANCEDIVERSIFIED,37
IRO7ARNP0001,وآرین,شرکت توسعه اقتصادی آرین,IREXINVESTMENTS,37
IRO7ARTP0001,پارتا,مجتمع‌صنعتی‌آرتاویل‌تایر,IREXRUBBERPLASTICS,37
IRO7AYNP0001,وآیند,بانک آینده,IREXBANKSCREDITINSTITUTIONS,37
IRO7AZRP0001,ساذری,آذریت‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7AZMP0001,لازما,کارخانه های صنعتی آزمایش,IREXAPPLIANCES,37
IRO7BE1P0001,انرژی1,نهادهای مالی بورس انرژی,IREXEXCHANGESEXCHANGERELATED,37
IRO7BE2P0001,انرژی2,فعالان بورس انرژی,IREXEXCHANGESEXCHANGERELATED,37
IRO7BE3P0001,انرژی3,سایر اشخاص بورس انرژی,IREXEXCHANGESEXCHANGERELATED,37
IRO7BHEP0001,آینده,بازرگانی آینده سازان بهشت پارس,IREXFARMPRODUCTS,37
IRO7BIRP0001,فبیرا,بسته‌ بندی‌ ایران‌,IREXMETALLICPRODUCTS,37
IRO7BNDP0001,حبندر,دریایی و کشتیرانی خط دریابندر,IREXSHIPPINGPORTS,37
IRO7BPRP0001,چبسپا,بسته‌ بندی‌ پارس,IREXPAPERPRODUCTS,37
IRO7BSAP0001,سامان,بانک سامان,IREXBANKSCREDITINSTITUTIONS,37
IRO7BSOP0001,قیستو,شرکت قند بیستون,IREXSUGAR,37
IRO7BSHP0001,وشهر,بانک شهر,IREXBANKSCREDITINSTITUTIONS,37
IRO7CBBP0001,سباقر,سیمان باقران,IREXCEMENT,37
IRO7CMKP0001,سمتاز,سیمان ممتازان کرمان,IREXCEMENT,37
IRO7CNAP0001,ثنام,س ساختمانی ب نام آوران مهندسی,IREXCONSTRUCTION,37
IRO7DANP0001,ودانا,سرمایه گذاری دانایان پارس,IREXINVESTMENTS,37
IRO7DSHP0001,دشیری,شیرین دارو,IREXPHARMACEUTICALS,37
IRO7DHVP0001,دحاوی,الحاوی,IREXPHARMACEUTICALS,37
IRO7ESHP0001,تشتاد,صنایع تولیدی اشتاد ایران‌,IREXAUTOPARTS,37
IRO7ETMP0001,ثعتما,س. ساختمانی اعتماد گستر,IREXINVESTMENTS,37
IRO7FANP0001,فن آوا,گروه فن آوا,IREXINVESTMENTS,37
IRO7FLTP0001,فلات,گروه صنایع معادن فلات ایرانیان,IREXINVESTMENTS,37
IRO7GAZP0001,پلوله,گازلوله‌,IREXRUBBERPLASTICS,37
IRO7GHMP0001,وقوام,بانک قوامین,IREXBANKSCREDITINSTITUTIONS,37
IRO7GSIP0001,ولتجار,واسپاری تجارت وسرمایه ایرانیان,IREXAUTOWHOLESALERRETAILER,37
IRO7HPKP0001,تپکو,تولیدتجهیزات‌سنگین‌هپکو,IREXMACHINERY,37
IRO7GTOP0001,قجام,فرآوردههای غذایی وقندتربت‌جام‌,IREXSUGAR,37
IRO7IENP0001,سنوین,سرمایه گذاری اقتصاد نوین,IREXINVESTMENTS,37
IRO7IFMP0001,ومشان,س. فنی و مهندسی مشانیر,IREXINVESTMENTS,37
IRO7IRNP0001,سایرا,ایرانیت‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7ISTP0001,ویسا,سرمایه گذاری ایساتیس پویا,IREXINVESTMENTS,37
IRO7ITLP0001,کایتا,ایتالران‌,IREXOTHERNONMETALLICPRODUCTS,37
IRO7JSHP0001,فجوش,جوش‌ و اکسیژن‌ ایران‌,IREXMETALLICPRODUCTS,37
IRO7KBDP0001,کباده,تولید خاک نسوزاستقلال آباده,IREXOTHERNONMETALLICPRODUCTS,37
IRO7KARP0001,وآفری,بیمه کارآفرین,IREXINSURANCEDIVERSIFIED,37
IRO7KBLP0001,بایکا,کارخانجات کابلسازی ‌ایران‌,IREXINDUSTRIALEQUIPMENTCOMPONENTS,37
IRO7KIVP0001,غیوان,کیوان,IREXCONFECTIONERS,37
IRO7KMSP0001,چکارم,کارتن‌ مشهد,IREXPAPERPRODUCTS,37
IRO7KMOP0001,لکما,کارخانجات‌مخابراتی‌ایران‌,IREXCOMMUNICATIONEQUIPMENT,37
IRO7KSDP0001,کصدف,کاشی صدف سرام استقلال آباده,IREXTILE,37
IRO7KSNP0001,کیسون,شرکت کیسون,IREXCONSTRUCTION,37
IRO7KTAP0001,بتک,کارخانجات کابل سازی‌ تک‌,IREXINDUSTRIALEQUIPMENTCOMPONENTS,37
IRO7LKPP0001,لخانه,لوازم‌ خانگی‌ پارس‌,IREXAPPLIANCES,37
IRO7LARP0001,سلار,شرکت سیمان لارستان,IREXCEMENT,37
IRO7LSDP0001,فسدید,لوله‌وتجهیزات‌ سدید - ورشکسته,IREXSTEELIRON,37
IRO7MILP0001,بمیلا,توسعه بازرگانی آهن وفولادمیلاد,IREXWHOLESALING,37
IRO7MOZP0001,تراک,ماشین‌آلات صنعتی تراکتورسازی‌,IREXMACHINERY,37
IRO7MINP0001,غصینو,صنعتی مینو,IREXCONFECTIONERS,37
